,Tiếng Việt,Kon Tum,Gia Lai,Bình Định
15593,góp,,Gop,
15594,góp cho,,Gop ăn,
15595,góp gạo,,Ra phe,
15596,góp lại,,Tơnôm,
15597,góp tiền,,Ra jên,
15598,góp ý,,Pơma tơbôh,
15599,gót,,Kơnơl,
15600,gót chân,kơ'nơl,Kơnơl jâng,
15601,gọt,,Kie`t,jiêt
15602,gọt vỏ,,Kiẽt kơ đoh,
15603,gỗ,,Târ,long
15604,gỗ hương,tơnỡng,Dơnỡng,
15605,gỗ làm nhà,,Târ pơm hnam,
15606,gỗ trắc,,Along krăk,
15607,gốc,tơm,"dơngỡl, Tơm",tơm
15608,gốc,tơm,"dơngỡl, Tơm",tơm
15609,gốc cây,,"Tơm along, dơngỡl along",
15610,gốc cây,,"Tơm along, dơngỡl along",
15611,gốì,,Hơgơn,
15612,gốì khăn,,Hơgơn khăn,
15613,gốì lụa,,Hơgơn che,
15614,gốì tay,,Hơgơn ti,
15615,gội,kơpu,Kơpu,prol
15616,gội đầu,,"hum kâl, Kơpu kỡl",
15617,gội đầu,,"hum kâl, Kơpu kỡl",
15618,gồm,,Đẽi,
15619,gồng,,Jơlõng,
15620,gộp,,Hơgop,
15621,gỡ,,"plõ, Pleh, yaih",
15622,gỡ,,"plõ, Pleh, yaih",
15623,gỡ,,"plõ, Pleh, yaih",
15624,gợi ý,,Tơb`ôh nâr,
15625,gợn sóng,,Poh yă,
15626,gục,,"Ku`p, tơgât",
15627,gục,,"Ku`p, tơgât",
15628,gùi,,Pu`,tuaih
15629,gùi có nắp,anum,Krôh,
15630,gùi lúa,,Pu` b`a,
15631,gùi nhỏ,"chơneh, reo, jrüng","jak iẽ, Hơkăt",
15632,gùi nhỏ,"chơneh, reo, jrüng","jak iẽ, Hơkăt",
15633,guốc,kơchôp,Chơkho` along,
15634,gửi,,"hơtă, Gơih",gơi
15635,gửi,,"hơtă, Gơih",gơi
15636,gửi cho,,Ată ăn,
15637,gửi gắm,,Pơjao hơtă,
15638,gửi quà,,Gơih tơmam,
15639,gửi tiền,,Gơih jên,
15640,gươm,,Đao,đau
15641,gương,,Amin,
15642,gương mẫu,,"ju`k hơ drol, Pơm ju`k, ju`k",
15643,gương mẫu,,"ju`k hơ drol, Pơm ju`k, ju`k",
15644,gương mẫu,,"ju`k hơ drol, Pơm ju`k, ju`k",
15645,hai ngàn,,B`ar rơbõu,
15646,hai trăm,,B`ar hrẽng,
15647,hài lòng,,Lăp kơđon,
15648,hái,"phĕ, pĕ","hleh, Phẽ","hleh, kơsep , sêp"
15649,hái,"phĕ, pĕ","hleh, Phẽ","hleh, kơsep , sêp"
15650,hái lá,,Hleh hla,
15651,hại người,,Pơb`rơih,
15652,ham mê,"nhăng, nhan, ngê̆, chưn",Hưch hanh,
15653,ham thích,,Ameh wă,
15654,hàm,,Kơting tơb`ong,kang 
15655,hàm răng,"rơhõi, brei",Kơting tơb`ong sơnẽnh,
15656,hạn hán,,Phang ang,tŏ phang
15657,hang,"kơpar, tơpar, par",Gơp,trôm
15658,hang cọp,,Trôm kiẽk,
15659,hang cua,,Trôm areng,
15660,hang động,,"trôm kông, Gơp trôm kông",
15661,hang động,,"trôm kông, Gơp trôm kông",
15662,hang núi,,Trôm kông,
15663,hang ổ,,Trôm tơpu,
15664,hàng,,"tơmam pơdro, Trong",
15665,hàng,,"tơmam pơdro, Trong",
15666,hàng hoá,,Mu`k tơmam,
15667,hàng rào,,"Dur, rơgong",pơgal
15668,hàng rào,,"Dur, rơgong",pơgal
15669,hàng xóm,,Pôm pơlẽi,
15670,háng,"kuang, kơwang kuang",Kuang,
15671,hạng,,Kơnao,
15672,hang mục,,Kơnao tơdrong,
15673,hành,,Kơdi`m,
15674,hành chính,,Jang pơmgăl,
15675,hành động,,"Iung pơm, pơm jang",
15676,hành động,,"Iung pơm, pơm jang",
15677,hành khách,,Bơngai tõk gre,
15678,hành khô,,Kơdĩm hrẽng,
15679,hàng lá,,Kơdĩm hlah,
15680,hành quân,,Năm pơtrui,
15681,hành văn,,Nỡr chih,
15682,hãnh diện,,Pơang,
15683,hạnh phúc,"pheo, jơnap",Rơ nu`k,
15684,hào hiệp,,Hơlăng,
15685,hào hứng,,Hâk kơdâk,
15686,háo ăn,,Dư,
15687,háo hức,,Hâr,
15688,hào,rơbông rơbang,"Hơbong,  rãnh",
15689,hào,rơbông rơbang,"Hơbong,  rãnh",
15690,hát,hat,"Joh, hơri",joh
15691,hát,hat,"Joh, hơri",joh
15692,hát dân ca,"hơnhông, anhông","hơri kră sỡ, hơri tơanguỡ, Hơri pơđâk",
15693,hát dân ca,"hơnhông, anhông","hơri kră sỡ, hơri tơanguỡ, Hơri pơđâk",
15694,hát dân ca,"hơnhông, anhông","hơri kră sỡ, hơri tơanguỡ, Hơri pơđâk",
15695,hát đồng ca,,Hơri lơ bơngai,
15696,hát đơn ca,,Hơri mĩng anu,
15697,hát giao duyên,,Hơri pơđâk,
15698,hát sinh hoạt,,Hơri tơanguỡ,
15699,hăng,"ơr, tơngok",Har,mơ̆u brư
15700,hăng hái,,Chơgăm,
15701,hăng thuốc,,Har hât,
15702,hắt,,Kơxăi,
15703,hắt xì,,Kơxeh,
15704,hâm cơm,,"pơto` por, Pơtõ mơh",
15705,hâm cơm,,"pơto` por, Pơtõ mơh",
15706,hâm lại,,Pơtõ,
15707,hầm,rơyă,Sơlu`ng,"riê̆, chơhlung"
15708,hầm hập,,Tõ hlơ hlẽng,
15709,hầm sâu,,Sơlũng jrũ,
15710,hầm xương,,Hơ tu`k kơting,
15711,hận thù,,Kơnam,
15712,hấp hôi,,Lôch pơmat,
15713,hấp tấp,"hơnăt, kơnhoh","hơloh, Hăt hot",
15714,hấp tấp,"hơnăt, kơnhoh","hơloh, Hăt hot",
15715,hầu,,Jang ăn,
15716,hậu môn,"dơxuh, tơxuh","kiẽl, Dơxuh",
15717,hậu môn,"dơxuh, tơxuh","kiẽl, Dơxuh",
15718,hè,,Hang lơng,kơtiêng
15719,hé mở,,Plek,
15720,hen,,Hiup,
15721,hèn,,Lêl,lêl
15722,hèn hạ,,Lêl răm,
15723,hòn mọn,,ưh kơ ai,
15724,hèn nhát,,Lêl,
15725,hẹn,,Pơkă,
15726,heo,,Nhũng,
15727,heo cái,,"nhu`ng akăn, Nhũng iông",
15728,heo cái,,"nhu`ng akăn, Nhũng iông",
15729,heo đực,,Nhũng bo`ng,
15730,heo hút,,A taih yaih,
15731,heo rừng,"ake, hơke","hơke, Sơke",
15732,heo rừng,"ake, hơke","hơke, Sơke",
15733,heo ủi,,Nhũng chưk,
15734,hẻo lánh,,Ataih,
15735,héo,"jô, prüt, jeo","Hõnh, jô",hŏnh
15736,héo,"jô, prüt, jeo","Hõnh, jô",hŏnh
15737,héo hon,,Jô ho`nh,
15738,héo lá,,Ho`ng hla,
15739,hẹp,,Hrăt,kơchiễ
15740,hẹp hòi,,Kơb`ah,
15741,hét,tơkẽch,"Ôr, tơkẽch, hơdrãi","driêu, angiêng"
15742,hét,tơkẽch,"Ôr, tơkẽch, hơdrãi","driêu, angiêng"
15743,hét,tơkẽch,"Ôr, tơkẽch, hơdrãi","driêu, angiêng"
15744,hề,,Mêu,
15745,hề hề,,Hê hê,
15746,hên,"jơmo, chơmo",Jơmo,
15747,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
15748,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
15749,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
15750,hết,"klaih, dĭ, adrĕng, tô ch, dăp","Kơtẽch, đi`, pơđi`, tôch","gĕh, đí"
15751,hết gạo,,Đi` phe,
15752,hết hồn,,Kơdrăt,
15753,hết lòng,,Đĩ jơhngâm,
15754,hết lời,,Đĩ nâr,
15755,hết lúa,,Đi` b`a,
15756,hết muôi,,Đĩ hoh,
15757,hết sạch,"lelĕk, 'juah, 'biah, lơlĕk, hrĕl, teng tong, huah","Goh, tơgrơng, đi` b`iau",
15758,hết sạch,"lelĕk, 'juah, 'biah, lơlĕk, hrĕl, teng tong, huah","Goh, tơgrơng, đi` b`iau",
15759,hết sạch,"lelĕk, 'juah, 'biah, lơlĕk, hrĕl, teng tong, huah","Goh, tơgrơng, đi` b`iau",
15760,hết tiền,,Đĩ jên,
15761,hết trơn,,Đĩ b`iau,
15762,hi sinh,,"Hu`t akâu, Ngeh ",
15763,hi sinh,,"Hu`t akâu, Ngeh ",
15764,hi vọng,,chang,
15765,hì hục,,Dui jơhngâm lap,
15766,hỉ mũi,"adrih, hơdrih",Kơxeh,
15767,hiểm hóc,,Chem chom,
15768,hiểm nghèo,,Pơmat tat,
15769,hiếm,khal,"Khăi, hui",biê̆
15770,hiếm,khal,"Khăi, hui",biê̆
15771,hiếm có,rơih kơ,Khăi kơ đẽi,
15772,hiếm hoi,,Khăi kho`,
15773,hiền,,"Ayỡm, iâm",khôn
15774,hiền,,"Ayỡm, iâm",khôn
15775,hiền hậu,dim dông,Iâm dim,
15776,hiền hoà,,Iâm alâng,
15777,hiền lành,"dim, rơnim, dim rơnim",Dim rơnim,khôn kheŭ
15778,hiền từ,,Dim alâng,
15779,hiến pháp,,Kơnang tơdrong,
15780,hiến thân,,Ba akõu,
15781,hiện đại,,Chãl ahrẽi,
15782,hiện giờ,"anang, hanang, hơnang",Dang ẽi,
15783,hiện nay,harei,Dang ẽi,ahrĕi ơ̆u
15784,hiện tại,,Ahrẽi,
15785,hiện vật,,Tơmam kăl,
15786,hiệp thương,,Akõm chă pôm đon,
15787,hiệp ưđc,,Hla ar pơkă,
15788,hiểu,,"Hlôh, wao","hlôh, gơh băt"
15789,hiểu,,"Hlôh, wao","hlôh, gơh băt"
15790,hiểu biết,,"hlôk wao, Hlôh băt",
15791,hiểu biết,,"hlôk wao, Hlôh băt",
15792,hiếu chiến,,Chă tơblah,
15793,hiếu thảo,,"gơh băt kơ mẽ b`ă, Băt hơlăng",
15794,hiếu thảo,,"gơh băt kơ mẽ b`ă, Băt hơlăng",
15795,hiệu nghiệm,,Si`t,
15796,hiệu trưởng,,Khoa hnam trưng,
15797,hình,,Rup,"hĭnh, điah"
15798,hình ảnh,,Rup,
15799,hình chữ nhật,,Rup to,
15800,hình dáng,hơ'blong,"Chuai, hơbo`",
15801,hình dáng,hơ'blong,"Chuai, hơbo`",
15802,hình học,,Rup pơting,
15803,hình tam giác,,Rup kơlang,
15804,hình thành,,Jing keh,
15805,hình thoi,,Rup plẽi tơroi,
15806,hình ưòn,,Rup apôm,
15807,hình trụ,,Rup apôm,
15808,hình vuông,"keng kong, blon",Keng kong,
15809,hiu hiu,"phet, hưt hưt, rơhưt",Hơk hơk,
15810,hiu quạnh,,Jua,
15811,ho,"hniĕn, hiĕn",Hie`n,hiên
15812,ho lao,hreh hrok,Hie`n hiang,
15813,họ,,"sư, Bre, đe","kơtum kơtŏng, đe"
15814,họ,,"sư, Bre, đe","kơtum kơtŏng, đe"
15815,họ,,"sư, Bre, đe","kơtum kơtŏng, đe"
15816,họ hàng,"kơtŭm, kơtŭm kơtŏng","Adre`ch drung, kơtum","kơtum kơtŏng, nă ma"
15817,họ hàng,"kơtŭm, kơtŭm kơtŏng","Adre`ch drung, kơtum","kơtum kơtŏng, nă ma"
15818,hoa,,Pơkau,pơkau
15819,hoa màu,ĭ-ŏ,Sơna pơtăm,
15820,hoa mắt,,Wing măt,tơbla măt
15821,hoa lan,,Pơ kau lan,
15822,hoa sim,bung bang,Bung bang,
15823,hoa tai,'ding 'don,Hơle,
15824,hoa văn,dok,"rup pơro`, Tơbrônh, brâng",brưng gơleh 
15825,hoa văn,dok,"rup pơro`, Tơbrônh, brâng",brưng gơleh 
15826,hoa văn,dok,"rup pơro`, Tơbrônh, brâng",brưng gơleh 
15827,hoa bình,,"rơnu`k rơnang, Rơnge`i",
15828,hoa bình,,"rơnu`k rơnang, Rơnge`i",
15829,hoa hợp,,Hưdai băl,
15830,hòa nhã,,Rơhău,
15831,hòa thuận,"hrĕng hơdra, rơhố rơhom","pong băl, Mi`nh rơhngâm",hơdơi hơdơi wă
15832,hòa thuận,"hrĕng hơdra, rơhố rơhom","pong băl, Mi`nh rơhngâm",hơdơi hơdơi wă
15833,hóa chất,,Đak pơ jro`u,
15834,hóa đơn,,Chih tơbăt,
15835,hóa học,,Tơm pơgang,
15836,họa,,đe`i tơdrong,ai brư̆
15837,họa hoằn,,Hui kơđe`i,
15838,hoài nghi,,ưh kơ ngeh,
15839,hoan hô,jrao,Jrẽu,bơne tap ti
15840,hoàn cảnh,,Jơhnơr arih,
15841,hoàn hảo,,Lăp b`lẽp,
15842,hoàn tất,"keh kong, pơlẽng",Pơđang,
15843,hoàn thành,,"Keh kong, keh",
15844,hoàn thành,,"Keh kong, keh",
15845,hoàn toàn,keh kol,Đĩ đăng,gan
15846,hoàn trả,,Pơdơ kla,
15847,hoạn nạn,,Đẽi tơdrong truh,
15848,hoang,,Jor,
15849,hoang dại,"brẽch, bri",Jing kơdih,
15850,hoang mang,,Hli tơrơ,
15851,hoang vắng,,Rơheng rơho`,
15852,hoang vu,,Pơxẽl,
15853,hoàng hậu,,Hơkăn pơtao,
15854,hoàng hôn,,"gip kơmăng, kơxỡ, Anãr wă mât",năr mưt
15855,hoàng hôn,,"gip kơmăng, kơxỡ, Anãr wă mât",năr mưt
15856,hoàng hôn,,"gip kơmăng, kơxỡ, Anãr wă mât",năr mưt
15857,hoàng tử,,Kon drõ nglo pơtao,
15858,hoảng hốt,hơmral,Bral tơngal,yŭ
15859,hoảng sợ,"kơkơ̆r, krê",Bral tơrơ,bral
15860,hoạt bát,,Rơhau,
15861,hoạt động,,Pơm jang,
15862,hoặc,dah,Jah,"jah, hĕi"
15863,hóc,"hlang, chơhôh, chơhah",Khok,
15864,hóc xương,,Khok kơ ting,
15865,hóc xương cá,,Khok kơting ka,
15866,hóc xương gà,,Khok kơting iẽr,
15867,học,pơhrăm,"Hõk, pơhrăm",hok
15868,học,pơhrăm,"Hõk, pơhrăm",hok
15869,học bổ túc,,Pơ hrăm ho`k chư,
15870,học bổng,ala pơxrăm,Jen hõk,
15871,học hành,pơxrăm,Hõk pơhrăm,
15872,học sinh,lung leng,Hõk tro,hok sinh
15873,học tập,,Hõk pơjuăt,
15874,học vẹt,,Rơbot b`âr,
15875,hỏi,jet,Jet,"pinh , apinh, pinh"
15876,hỏi ai,,Jet bu,
15877,hỏi bạn,,Jèt bôl,
15878,hỏi thăm,jơjet,Jet hơpinh,
15879,hỏi xin,,Api`nh,
15880,hòm đồ,,Hip tơmam,
15881,hòn đảo,"achon, hơchon","Kông lôk tôk bok đak dơxĩ, bol kông",
15882,hòn đảo,"achon, hơchon","Kông lôk tôk bok đak dơxĩ, bol kông",
15883,hỏng,,"Hưch hanh, hueh, răm",
15884,hỏng,,"Hưch hanh, hueh, răm",
15885,hỏng,,"Hưch hanh, hueh, răm",
15886,họng,,"Hơlo`ng, dang hơlo`ng",hơlŏng
15887,họng,,"Hơlo`ng, dang hơlo`ng",hơlŏng
15888,hóp,"kơjiôr, kơ'biop, bop",Bop,
15889,họp,,"Hơku`m, hôp",hop
15890,họp,,"Hơku`m, hôp",hop
15891,hót,"rưng, ơxi, axi, pơpeng","Hơxi, axi","tơ bơ̆l, tơsi"
15892,hót,"rưng, ơxi, axi, pơpeng","Hơxi, axi","tơ bơ̆l, tơsi"
15893,hô,,"jrẽo, Hơmrăi",
15894,hô,,"jrẽo, Hơmrăi",
15895,hồ,,Dơnõu,bău
15896,hồ bơi,,Dơnõu glơi,
15897,hồ cá,,"sơlu`ng ka, Dơno`u ka",
15898,hồ cá,,"sơlu`ng ka, Dơno`u ka",
15899,hồ tắm,,Dơno`u hum,
15900,hồ tơnưhg,,Dơno`u Tơnueng,
15901,hộ gia đình,,Lăm u`nh hnam,
15902,hốc,,Trom along,
15903,hốc hác,,Kơh luâk,
15904,hôi,"phŭk, blĭk, khơ̆m","B`õu, b`âu",mơ̆u
15905,hôi,"phŭk, blĭk, khơ̆m","B`õu, b`âu",mơ̆u
15906,hôi tanh,,B`õu khek,
15907,hôi thối,ôm,B`õu ôm,
15908,hồi nãy,,Hẽi,
15909,hồi sức,,Jing arih,
15910,hối hận,,Amlaih,
15911,hối lộ,,"pơgỡm, An pơlung",
15912,hối lộ,,"pơgỡm, An pơlung",
15913,hội,,Khu`l,
15914,hội hè,,Et sa tih,
15915,hội nghị,,Akum hơdai,
15916,hội họp,,Jơnu`m akon,
15917,hội thi,,Pơ thi,
15918,hôm kia,,"Anăr kơxỡ, bơlao",năr iơ̆u
15919,hôm kia,,"Anăr kơxỡ, bơlao",năr iơ̆u
15920,hôm nay,,Anăr o`u,năr adrơu
15921,hôm qua,,Anăr brẽi,năr abri
15922,hôm trước,,Ki,
15923,hôn,chŭm,Chũm,hut
15924,hôn nhau,tơchũm,"chũm băl, Tơ chũm",
15925,hôn nhau,tơchũm,"chũm băl, Tơ chũm",
15926,hôn nhân,ŏng mai,Oẽi klo kăn,
15927,hôn tay,,Chũm ti,
15928,hỗn độn,,"Hơkrâp hơkrăp, krưp dêh",
15929,hỗn độn,,"Hơkrâp hơkrăp, krưp dêh",
15930,hông,,Kơie`ng,ngiêng
15931,hồng,,B`rê,
15932,hồng hào,'brâu,"B`rê gơhi`m, gơhơ`ng",
15933,hồng hào,'brâu,"B`rê gơhi`m, gơhơ`ng",
15934,hộp,kơhôp,"tơnglăp, Kơhôp",
15935,hộp,kơhôp,"tơnglăp, Kơhôp",
15936,hộp nhỏ,,Tơnglăp,
15937,hột,,Găr,gĕl 
15938,hột mít,,Găr mit,
15939,hơ,"hơ̆r, hur","Phang, hur",phang
15940,hơ,"hơ̆r, hur","Phang, hur",phang
15941,hơ lửa,"tơheng , dơheng",Nhur u`nh,
15942,hờ hững,,Pă b`lo`k,
15943,hở,"tơplă, kơ'dơ","ưh tơxir, Pơ choh",
15944,hở,"tơplă, kơ'dơ","ưh tơxir, Pơ choh",
15945,hơi,,Hơyuh,
15946,hơi lành lặn,,Hiom hiom,
15947,hơi nóng,,Yuh,
15948,hơi nước,,"Ayuh đak, hơyuh đak",
15949,hơi nước,,"Ayuh đak, hơyuh đak",
15950,hơn,,"loi , loi, gloh",
15951,hơn,,"loi , loi, gloh",
15952,hơn,,"loi , loi, gloh",
15953,hơn em,,Gloh kơ oh,
15954,hơn hẳn,,Gloh loi,
15955,hơn người,,Loi kơđe,
15956,hơn tôi,,Hloh kơ i`nh,
15957,hợp,,Hơ dai,
15958,hợp tác,,Jang hơdai,
15959,hớt,kơ̆ch,Yuă,
15960,hớt tóc,,Yuã sõk,
15961,hũ,bô̆i,Bổ`i,
15962,hũ mắm,,Bổ`i măm,
15963,hũ rượu,,Bỗ`i alăk,
15964,huấn luyện,,Pơtỡp,
15965,húc,,"Tâm, tơ tầ`m","tơjil, tuh"
15966,húc,,"Tâm, tơ tầ`m","tơjil, tuh"
15967,hun,,"Pơpi anhui, hlôm",
15968,hun,,"Pơpi anhui, hlôm",
15969,hun chuột,,Pơpi anhui kơne,
15970,hun hút,,"su`ng su`ng, Ti ti",
15971,hun hút,,"su`ng su`ng, Ti ti",
15972,hung dữ,"atei, atay, jơngỡm, hơtay",Khẽnh,nưih brư
15973,hùng hậu,,Pran kơtang,
15974,hùng vĩ,,Rõ dêh,
15975,húp,,"Huch, trep",huch
15976,húp,,"Huch, trep",huch
15977,húp canh,,Huch anhot,
15978,húp cháo,,Huch chao,
15979,húp nước,,Huch đak,
15980,hút,"jrep, ngok, doch","doch,  ĩnh ưh kơ et hỡt., trep, Iep",hep
15981,hút,"jrep, ngok, doch","doch,  ĩnh ưh kơ et hỡt., trep, Iep",hep
15982,hút,"jrep, ngok, doch","doch,  ĩnh ưh kơ et hỡt., trep, Iep",hep
15983,,"apoih, hơpoih, hơpaih",,
15984,hút,"jrep, ngok, doch","doch,  ĩnh ưh kơ et hỡt., trep, Iep",hep
15985,hút máu,,Trep iõk pham,
15986,hút mật hoa,,Iep pơkao,
15987,hút thuốc,,Et hỡt,
15988,hụt,,"Phu`ch, hơtuch",
15989,hụt,,"Phu`ch, hơtuch",
15990,huy động,,Chă pơtơm,
15991,huyền thoại,,Tơdrong hơ arnon,
15992,huyện,,"pu`ng, Apu`ng",huên
15993,huyện,,"pu`ng, Apu`ng",huên
15994,huyện đoàn,,Khu`l tơdăm apung,
15995,huyện nhà,,Tơring tơrang,
15996,huyết thông,,Kơtu`m kơting,
15997,huyệt,"hơkăl, lăp",Sơlu`ng,
15998,huýt sáo,"hung hŭi, kơhôch, hông hôch",Hơhôch,lơhuêch
15999,hư,"pơhư, rơkhơh rơkhah","Hư, răm",
16000,hư,"pơhư, rơkhơh rơkhah","Hư, răm",
16001,hư hại,răm,Glăi răm,
16002,hứa,tơchỡt,Pơkă,chơkăt bơ̆l
16003,hứa hão,,"pơngeh, Pơlui",
16004,hứa hão,,"pơngeh, Pơlui",
16005,hứa hẹn,,Pơkă,
16006,ì ạch,,Trăp trĩn,khĕ khă
16007,ỉa,,I`ch,
16008,ỉa bậy,,I`ch kưkă,
16009,ỉa chảy,,Chroh,chroh
16010,ỉa đồng,,I`ch tơanguai,
16011,ích kỷ,,"tơxen, chôn, Kret",
16012,ích kỷ,,"tơxen, chôn, Kret",
16013,ích kỷ,,"tơxen, chôn, Kret",
16014,ích lợi,,Đẽi yua,
16015,im,,Thẽng,bơdư
16016,ỉm ả,,Tơ thẽng,
16017,im ắng,,Tơ thẽng,
16018,im lặng,"thẽng, rơheng","hreh, thẽng, Hrẽch thẽng, ngăn",bơdư sreh
16019,im lặng,"thẽng, rơheng","hreh, thẽng, Hrẽch thẽng, ngăn",bơdư sreh
16020,im lặng,"thẽng, rơheng","hreh, thẽng, Hrẽch thẽng, ngăn",bơdư sreh
16021,im lặng,"thẽng, rơheng","hreh, thẽng, Hrẽch thẽng, ngăn",bơdư sreh
16022,im lìm,,Thẽng amơng,
16023,inh ỏi,tơ'jrông,Ôr glơgleng,
16024,inh tai,,Glơgleng kơ đon,
16025,ít,"tơxẽt, kơtuĕnh, kơtuei, tôxẽt, chral, tôxẽ","tõxẽ, Tõxe`t",biê̆
16026,ít,"tơxẽt, kơtuĕnh, kơtuei, tôxẽt, chral, tôxẽ","tõxẽ, Tõxe`t",biê̆
16027,ít quá,,Tõxẽ dêh,
16028,ít khi,"hui, hui hui, hôi",Hui,
16029,ít ỏi,"rơ-ốch, 'brah 'brah","tõxẽ, To`xẽt sot",
16030,ít ỏi,"rơ-ốch, 'brah 'brah","tõxẽ, To`xẽt sot",
16031,ka li,,Ka li,
16032,ka ki,,Ka ki,
16033,karate,,Karate,
16034,ke,kơtô,Along ke re`k,
16035,kè,rơpuơn,Bơnơ`,
16036,kẻ,,Re`k,
16037,kẻ ca rô,,Bring brông,
16038,kẻ cắp,,Bơ ngai tơ tung,
16039,kẻ cướp,,Bơ ngai tơ tung,
16040,kẻ gian,,Bơngai kơnê`,
16041,kẻ thù,"ayăt, kơnam",Ayăt,lu ayăt
16042,kẻ trộm,,Bơ ngai tung tơmam,lu tơtông
16043,kem,,Krem,
16044,kem sữa,,Krem dak toh,
16045,kẽm,,Kem,
16046,kém,chrôih,Hotu`k,"biê̆ loi, đim khơh"
16047,kém quá,,Hotu`k dêh,
16048,kém thật,,Hotu`k tơpă,
16049,kèn,"tơdiẽp, tơgiẽp",Keng,gơdiêp
16050,kẻng,,Teng neng,
16051,keo kiệt,oih,"tơxen, Dơxen",
16052,keo kiệt,oih,"tơxen, Dơxen",
16053,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16054,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16055,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16056,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16057,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16058,kéo,dui,"Ot – Anho`ng ot bro` iă dêh., hor, Săng kep, Hiot - Nhôn ngôi hiot tơle`i., pơdu`ng, Dui","hyot, dui, dui , săng chơkep "
16059,kéo chài,,Hiot jal,
16060,kéo co,pơdui,Hiot to le`i,
16061,kéo cửa,,Pơdu`ng amăng,
16062,kéo dài,,Pơđăng,
16063,kéo đàn,,Ot bro`,
16064,kéo lấy,,Hiot io`k,
16065,kéo lưới,,Hiot grang,
16066,kéo vào đây,,Dui tơ o`u,
16067,kéo xe,,Hor gre,
16068,kẹo,,Keo,
16069,kẹo kéo,,Keo hiot,
16070,kẹo lạc,,Keo b`um ngô,
16071,kẹp,"gap, nep",Ke`p,kep
16072,kẹp tóc,,Ke`p so`k,
16073,kẹt cây,,Đom along,
16074,kẹt xe,,Đom gre,
16075,kê,,"sơl, Hơgơn",sơn
16076,kê,,"sơl, Hơgơn",sơn
16077,kê ghế,,Hơgơn tang do`,
16078,kê khai,,Roi ăn,
16079,kê lên,"ngơk, hơngơn",Sơl mã kơjung,
16080,kể,,Roi,roi
16081,kể chuyện,"bơră, ră roi, tơră, hơ'mon, pơră",Roi hơamon,
16082,kể công,"tơyõ, jôch",Yõ,
16083,kể lể,,Ră roi,
16084,kế cận,,"Jơjễ, tơtil",
16085,kế cận,,"Jơjễ, tơtil",
16086,kế hoạch,,Chã tơdrong rơgẽi,
16087,đình,,Chã tơdrong rơgẽi,
16088,kết hôn,,Io`k klo hơkăn,
16089,kết hợp,pơyũp,Chã tơdrong hdoih,
16090,kế thừa,,Pơsữ,
16091,kết bạn,,Pơm buăl,pơm đôi
16092,kết đôi,,Pơkỡp,
16093,kết luận,,"pơđi`, đi` tôch, Pơ tôch, nâr tơyum",
16094,kết luận,,"pơđi`, đi` tôch, Pơ tôch, nâr tơyum",
16095,kết luận,,"pơđi`, đi` tôch, Pơ tôch, nâr tơyum",
16096,kết luận,,"pơđi`, đi` tôch, Pơ tôch, nâr tơyum",
16097,kết nghĩa,,Et pỗ` băn,
16098,kết quả,,Đèi tơdrong,
16099,kết thúc,pơtôch,"pơ đĩ, tôch, Pơtồch",atuch
16100,kết thúc,pơtôch,"pơ đĩ, tôch, Pơtồch",atuch
16101,kết thúc,pơtôch,"pơ đĩ, tôch, Pơtồch",atuch
16102,kêu,,"Axi, tơke`ch","re, krau"
16103,kêu,,"Axi, tơke`ch","re, krau"
16104,khác,"rơgoh, nai, anai",Pha,"krăi, nai, kơdih"
16105,khác nhau,"pha, phara",Pha ra,"krăi, kơdih"
16106,khách,tơmoi,Tơmoi,tơmoi
16107,khách sạn,,Hnam tep kơjung,
16108,khai hoang,,Chong muih,
16109,khai sinh,,Hla ar rơneh,
16110,khai ưường,,Pơtơm mât blu`ng,
16111,khai tử,,Hla ar ăn bơngai lôch,
16112,kham khổ,,Kho` ap,
16113,khám,,Khăm,kham
16114,khám bệnh,,"Khăm năng tơdrong jĩ, khăm lăng ji`",
16115,khám bệnh,,"Khăm năng tơdrong jĩ, khăm lăng ji`",
16116,khan,bơ'bloh,Kher,
16117,khan hiếm,,"ưh kơ đe`i lơ, ưh kơ mah",
